               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.030755,            0.003718,                   0,             0.92209,             0.90945,             0.92276,             0.48958,            0.026642,           0.0023692,                   0,           0.0057355,           0.0057355,           0.0057355
                  60,            0.031287,           0.0035668,                   0,             0.94478,             0.90932,             0.94529,             0.48761,            0.026421,           0.0022825,                   0,           0.0056178,           0.0056178,           0.0056178
                  61,            0.030911,           0.0036538,                   0,             0.93208,             0.91929,             0.94269,             0.50279,             0.02553,           0.0023294,                   0,              0.0055,              0.0055,              0.0055
                  62,             0.03168,           0.0036681,                   0,             0.92027,             0.91142,              0.9307,             0.50555,            0.026146,           0.0023643,                   0,           0.0053822,           0.0053822,           0.0053822
                  63,            0.031037,           0.0036364,                   0,             0.91968,              0.9252,             0.94102,             0.49871,             0.02687,           0.0022978,                   0,           0.0052645,           0.0052645,           0.0052645
                  64,             0.03102,           0.0035146,                   0,             0.93096,             0.92911,             0.94215,             0.50491,            0.027025,             0.00232,                   0,           0.0051469,           0.0051469,           0.0051469
                  65,            0.031421,           0.0035798,                   0,             0.91552,             0.91732,             0.92712,             0.49507,             0.02687,           0.0023507,                   0,           0.0050296,           0.0050296,           0.0050296
                  66,            0.030097,             0.00349,                   0,             0.92459,              0.9172,             0.93812,             0.51051,            0.026426,           0.0023312,                   0,           0.0049126,           0.0049126,           0.0049126
                  67,            0.029906,            0.003566,                   0,             0.93802,             0.92913,             0.94109,             0.51025,            0.025843,           0.0023213,                   0,            0.004796,            0.004796,            0.004796
                  68,            0.030584,           0.0036577,                   0,              0.9206,             0.91339,             0.94324,             0.50289,            0.026302,           0.0022499,                   0,           0.0046799,           0.0046799,           0.0046799
                  69,            0.029471,            0.003686,                   0,             0.94675,             0.91339,             0.95126,             0.50746,             0.02542,           0.0022656,                   0,           0.0045644,           0.0045644,           0.0045644
                  70,            0.029761,           0.0035828,                   0,             0.93695,             0.90945,             0.92841,             0.49315,            0.026494,           0.0023524,                   0,           0.0044495,           0.0044495,           0.0044495
                  71,            0.029751,           0.0034693,                   0,             0.92731,             0.90945,             0.93461,             0.50059,            0.025486,           0.0023284,                   0,           0.0043353,           0.0043353,           0.0043353
                  72,            0.029971,           0.0036702,                   0,             0.91473,             0.92913,              0.9336,             0.49986,            0.025711,           0.0023255,                   0,           0.0042219,           0.0042219,           0.0042219
                  73,             0.02955,           0.0034564,                   0,             0.94702,             0.91491,             0.94275,             0.50976,            0.025591,           0.0022564,                   0,           0.0041094,           0.0041094,           0.0041094
                  74,            0.029221,           0.0035472,                   0,             0.91959,             0.92298,             0.93656,             0.50533,              0.0261,           0.0022822,                   0,           0.0039979,           0.0039979,           0.0039979
                  75,             0.02819,           0.0034859,                   0,             0.93886,             0.90945,             0.95143,             0.50922,            0.025811,            0.002215,                   0,           0.0038873,           0.0038873,           0.0038873
                  76,             0.02863,           0.0035216,                   0,             0.93318,             0.90945,             0.93349,             0.50472,            0.025745,           0.0022201,                   0,           0.0037779,           0.0037779,           0.0037779
                  77,            0.028711,           0.0033662,                   0,             0.92832,             0.91929,             0.93381,             0.51548,            0.025577,           0.0022831,                   0,           0.0036697,           0.0036697,           0.0036697
                  78,            0.028376,           0.0033773,                   0,             0.94455,             0.90542,             0.94362,             0.51511,            0.025315,           0.0022747,                   0,           0.0035627,           0.0035627,           0.0035627
                  79,            0.028504,           0.0034046,                   0,             0.95277,              0.9133,             0.94514,             0.52292,            0.025513,           0.0022315,                   0,            0.003457,            0.003457,            0.003457
                  80,            0.028808,              0.0034,                   0,             0.92277,             0.91731,             0.93725,             0.51162,            0.025329,           0.0022907,                   0,           0.0033528,           0.0033528,           0.0033528
                  81,            0.028711,            0.003469,                   0,             0.93157,             0.91339,             0.94513,             0.51367,            0.025372,           0.0022732,                   0,             0.00325,             0.00325,             0.00325
                  82,             0.02835,            0.003344,                   0,             0.94545,             0.92115,             0.95037,             0.52138,            0.025058,           0.0022348,                   0,           0.0031488,           0.0031488,           0.0031488
                  83,            0.028204,             0.00333,                   0,             0.94873,             0.91142,             0.94827,             0.51295,            0.025525,           0.0022342,                   0,           0.0030491,           0.0030491,           0.0030491
                  84,            0.027093,           0.0033939,                   0,             0.93617,             0.92717,             0.94796,             0.51289,            0.025742,           0.0022439,                   0,           0.0029512,           0.0029512,           0.0029512
                  85,            0.027608,           0.0033421,                   0,              0.9548,             0.91485,             0.94304,             0.51498,            0.025408,           0.0022414,                   0,            0.002855,            0.002855,            0.002855
                  86,            0.027469,           0.0032656,                   0,             0.94187,              0.9252,              0.9457,             0.51234,            0.025069,           0.0022644,                   0,           0.0027606,           0.0027606,           0.0027606
                  87,            0.027536,           0.0034012,                   0,             0.94234,             0.93303,             0.95207,             0.52234,            0.025294,           0.0022324,                   0,           0.0026681,           0.0026681,           0.0026681
                  88,             0.02683,           0.0033209,                   0,             0.93501,             0.90748,             0.94264,             0.51915,            0.025329,           0.0022457,                   0,           0.0025775,           0.0025775,           0.0025775
                  89,            0.026716,           0.0033254,                   0,             0.95131,             0.92316,             0.94338,             0.52386,            0.025376,           0.0022155,                   0,           0.0024889,           0.0024889,           0.0024889
                  90,            0.027175,           0.0033547,                   0,             0.94377,             0.92512,             0.95507,             0.52458,            0.025355,           0.0021746,                   0,           0.0024024,           0.0024024,           0.0024024
                  91,            0.027382,           0.0032635,                   0,               0.955,             0.91916,             0.95455,             0.52405,            0.025253,           0.0021827,                   0,            0.002318,            0.002318,            0.002318
